sampleID,fruitID,tree,totalphenolics,dglucose,fructose,proteins,F,B,D,E,A,G,H,I,J,C,alkenylphenols
T5F4,34,5,0.588762086,7.582625864,10.40155972,0.496773568,3.955942297,2.806799457,0.494978988,1.774344877,2.906404977,0.612928744,0.413980515,0,0.117397852,0,13.08277771
T5F5,35,5,0.719259619,12.17472194,14.04066734,0.682824449,12.99421953,9.997996678,2.432132732,6.182915367,3.411568832,0.962531097,0.502138255,0.73697858,0.395954948,0,37.61643602
T5F6,36,5,0.709329909,13.37131474,16.88898406,0.671869625,5.149043221,3.380556885,1.177741771,2.725815194,2.638774238,0.771737195,0.378532045,0.358578569,0.166027523,0,16.74680664
T5F7,37,5,0.259774631,8.495841584,9.879742574,0.532873655,3.701908551,2.547202408,0.541859858,0,2.215804338,0.751649245,0.345998796,0.241440304,0.11447642,0,10.46033992
T6F1,38,6,0.764809277,7.567684729,9.143586207,0.584637525,1.57876188,0.146178995,0.095607502,0.682309495,0,0.264224217,0.063341132,0.569191275,0,0,3.399614497
T6F2,39,6,0.850171518,7.817288802,9.733555992,0.694711935,3.731307887,0.379861778,0.191849193,1.682465328,0,0.472466957,0.139490782,1.370534075,0,0,7.967976001
T6F3,40,6,0.711014596,7.719521912,9.174262948,0.698417665,2.217229528,0.22931448,0.139203824,0.941891653,0,0.506424597,0.111103553,0.7398447,0.236789811,0,5.121802146
T6F4,41,6,0.839757279,6.851485149,7.807069307,0.655046283,2.96505261,0.275132919,0.146723651,1.238849068,0,0.827484678,0.135084214,1.108187005,0,0,6.696514145
T6F5,42,6,0.895242861,6.011451135,6.612912142,0.587419948,3.308402402,0.309242048,0.172832413,1.380924889,0,0.820543797,0.21783353,1.180177721,0,0,7.389956801
T6F6,43,6,0.971249662,10.99503476,11.36436941,0.685471266,1.392947838,0.128294664,0.069947942,0.612139663,0,0.334251379,0.068244826,0.53132184,0,0,3.137148151
T6F7,44,6,0.748800198,10.79328727,12.46809477,0.835233505,2.794300453,0.231723459,0.174407059,1.135388541,0,0.574090741,0.122389151,1.050008257,0,0,6.082307661
T6F8,45,6,0.861971578,10.05063788,11.98380765,0.53125,2.334493898,0.219585419,0.113476886,0.963173293,0,0.566811101,0.130188396,0.870102711,0,0,5.197831705
T7F1,46,7,0.893712596,10.5876,13.18842,0.544729785,8.330057618,6.022441968,0.981643017,2.900570716,4.420697568,0.944874936,0.38299526,0,0.255434354,0,24.23871544
T7F2,47,7,0.767844083,10.44265594,12.6362173,0.457272461,8.158754498,6.480027713,1.099902185,2.882663893,2.316846346,0.788076906,0.35280287,0,0.222839839,0,22.30191425
T7F3,48,7,0.702555074,9.222112537,15.08570582,0.529631872,4.196629363,2.812857464,0.462955909,1.453192747,2.711842487,0.592899505,0.244638908,0.178706743,0.12892443,0,12.78264756
T7F4,49,7,0.696323066,6.103865213,15.69877106,0.595151427,3.860950911,2.893994101,0.47747318,1.597127668,1.673985293,0.399705906,0.185198355,0,0.101356475,0,11.18979189
T7F6,50,7,0.655678658,0.207807808,0,0.680051814,3.902695305,2.731845241,0.405154989,1.568460237,1.976741618,0.735755079,0.224095371,0.212674467,0.114990642,0,11.87241295
T8F1,51,8,0.595916143,13.53913043,16.96233202,0.407902987,8.071937355,5.473636114,1.071806069,0,1.57803179,0.692982756,0.274291494,0.348601462,0.183956554,0,17.69524359
T8F2,52,8,0.641957587,10.66746747,14.10966967,0.425500149,6.144433983,4.442156351,0.832374309,2.647459509,2.668870293,0.720589165,0.227639939,0.313864455,0.164009013,0,18.16139702
T8F3,53,8,0.663085688,9.455049505,14.23235644,0.335066051,2.285060644,1.711260998,0.304540602,1.21005589,0,0.636313738,0.203218711,0.15208824,0.073188633,0,6.575727456
T8F4,54,8,0.759019884,11.8332,14.44446,0.509793999,6.523805961,4.230641776,0.854956943,2.595445772,2.706662855,0.646914386,0.245683261,0.333477856,0.193867689,0,18.3314565
T8F5,55,8,0.963436252,10.74027505,15.83416503,0.457756632,17.6261545,14.62488196,2.793093047,6.644002865,3.337210357,0.759876114,0.437470385,0.662435032,0.426654777,0,47.31177903
T8F6,56,8,0.603535719,7.52173913,13.51470356,0.332233191,6.459698433,4.837722304,0.889983638,2.65029264,2.052418128,0.412301089,0.244076175,0.26649942,0.166791849,0,17.97978367
T8F7,57,8,0.841032466,6.824457594,9.427869822,0.394701732,11.84373502,8.691892723,2.342806447,4.900947655,2.728245401,0.602655945,0.286840502,0.551246339,0.301346985,0.410706471,32.66042349
T8F8,58,8,0.623864458,6.967818361,9.506061204,0.411184211,4.568657406,3.122064768,0.572807281,1.633161914,2.189012103,0.516675592,0.213613981,0.224155433,0.116884289,0,13.15703277
T8F9,59,8,0.731659164,1.51332008,5.202286282,0.40041002,6.590455879,5.143519761,0.629919915,2.086494327,2.654935593,0.748268857,0.434784445,0.227074129,0.15967876,0,18.67513166
T9F1,60,9,0.570128314,11.9024,18.63126,0.471974355,7.277158067,6.234447339,1.102686495,2.874793531,4.184278494,0,0.347514086,0,0.198459141,0,22.21933715
T9F2,61,9,0.723222537,13.07716535,15.31588583,0.601311395,10.72682096,7.961381419,1.993594268,4.02959833,3.294096361,0,0.390416849,0.596399327,0.372625513,0,29.36493302
T9F3,62,9,0.548185857,11.70547264,15.13635821,0.479718056,3.93918916,2.912427758,0,0,0,0,0,0,0,0,6.851616918
T9F4,63,9,0.698122406,12.9404,16.25874,0.45946137,5.136641814,4.016608191,0.808727776,2.390285427,0,0,0.293380732,0,0,0,12.64564394
T9F5,64,9,0.84548154,12.9966034,16.80017982,0.488058596,9.941257441,7.734703504,1.221866262,3.905099646,5.118290246,0,0,0,0.302114605,0,28.2233317
T9F6,65,9,0.533038786,16.80668633,20.92713864,0.661798987,9.474719194,7.21084195,1.896618041,3.414105262,2.884955728,0,0.262748364,0,0,0,25.14398854
T9F7,66,9,0.852739232,16.06916996,19.58252964,0.599376648,15.12541905,14.1950759,1.900574649,4.776767642,4.28617954,0,0.582292807,0,0,0,40.86630959
T9F8,67,9,0.923198405,12.61922696,15.90624381,0.549943122,3.99550567,3.280621183,0.504980876,0,3.45164637,0,0,0,0.144109356,0,11.37686346
